# Gamma Energy Spectrum Data
# Bin Size: 0.05 MeV
# Total Events: 14257014
# Bin_Center(MeV) Count Count_Per_MeV
0.025 193730 3874600.00
0.075 438439 8768780.00
0.125 456043 9120860.00
0.175 437229 8744580.00
0.225 446160 8923200.00
0.275 396187 7923740.00
0.325 335853 6717060.00
0.375 294360 5887200.00
0.425 288986 5779720.00
0.475 247951 4959020.00
0.525 300375 6007500.00
0.575 203734 4074680.00
0.625 194951 3899020.00
0.675 192942 3858840.00
0.725 287784 5755680.00
0.775 170631 3412620.00
0.825 163518 3270360.00
0.875 159954 3199080.00
0.925 160013 3200260.00
0.975 163387 3267740.00
1.025 183884 3677680.00
1.075 155021 3100420.00
1.125 147981 2959620.00
1.175 138292 2765840.00
1.225 133232 2664640.00
1.275 129908 2598160.00
1.325 128823 2576460.00
1.375 127163 2543260.00
1.425 129480 2589600.00
1.475 124258 2485160.00
1.525 119377 2387540.00
1.575 119907 2398140.00
1.625 165021 3300420.00
1.675 130236 2604720.00
1.725 110782 2215640.00
1.775 110283 2205660.00
1.825 109149 2182980.00
1.875 109363 2187260.00
1.925 109593 2191860.00
1.975 132580 2651600.00
2.025 132523 2650460.00
2.075 113668 2273360.00
2.125 123263 2465260.00
2.175 111475 2229500.00
2.225 104493 2089860.00
2.275 179529 3590580.00
2.325 266069 5321380.00
2.375 148609 2972180.00
2.425 103769 2075380.00
2.475 97129 1942580.00
2.525 94848 1896960.00
2.575 85097 1701940.00
2.625 71362 1427240.00
2.675 63399 1267980.00
2.725 62601 1252020.00
2.775 66777 1335540.00
2.825 68427 1368540.00
2.875 66554 1331080.00
2.925 63817 1276340.00
2.975 62216 1244320.00
3.025 62616 1252320.00
3.075 67553 1351060.00
3.125 64150 1283000.00
3.175 63390 1267800.00
3.225 64170 1283400.00
3.275 55268 1105360.00
3.325 51244 1024880.00
3.375 51364 1027280.00
3.425 48583 971660.00
3.475 44595 891900.00
3.525 43947 878940.00
3.575 45051 901020.00
3.625 53556 1071120.00
3.675 62289 1245780.00
3.725 59107 1182140.00
3.775 53677 1073540.00
3.825 59220 1184400.00
3.875 63169 1263380.00
3.925 56438 1128760.00
3.975 47510 950200.00
4.025 45157 903140.00
4.075 43954 879080.00
4.125 42086 841720.00
4.175 40396 807920.00
4.225 43928 878560.00
4.275 53233 1064660.00
4.325 87447 1748940.00
4.375 182872 3657440.00
4.425 274215 5484300.00
4.475 243515 4870300.00
4.525 129314 2586280.00
4.575 54028 1080560.00
4.625 36134 722680.00
4.675 34605 692100.00
4.725 35961 719220.00
4.775 37973 759460.00
4.825 39723 794460.00
4.875 40594 811880.00
4.925 40278 805560.00
4.975 38667 773340.00
5.025 38466 769320.00
5.075 39570 791400.00
5.125 39922 798440.00
5.175 38711 774220.00
5.225 41502 830040.00
5.275 43793 875860.00
5.325 38416 768320.00
5.375 30931 618620.00
5.425 28007 560140.00
5.475 27299 545980.00
5.525 26927 538540.00
5.575 26764 535280.00
5.625 26151 523020.00
5.675 25958 519160.00
5.725 25690 513800.00
5.775 25215 504300.00
5.825 24992 499840.00
5.875 24279 485580.00
5.925 23685 473700.00
5.975 23475 469500.00
6.025 23261 465220.00
6.075 23772 475440.00
6.125 24038 480760.00
6.175 23580 471600.00
6.225 23745 474900.00
6.275 23679 473580.00
6.325 24976 499520.00
6.375 26940 538800.00
6.425 28276 565520.00
6.475 28014 560280.00
6.525 24638 492760.00
6.575 21040 420800.00
6.625 18747 374940.00
6.675 17458 349160.00
6.725 16813 336260.00
6.775 16347 326940.00
6.825 16488 329760.00
6.875 16713 334260.00
6.925 17822 356440.00
6.975 19188 383760.00
7.025 19451 389020.00
7.075 18384 367680.00
7.125 15920 318400.00
7.175 14118 282360.00
7.225 12895 257900.00
7.275 12439 248780.00
7.325 11976 239520.00
7.375 11217 224340.00
7.425 10568 211360.00
7.475 9949 198980.00
7.525 9688 193760.00
7.575 9074 181480.00
7.625 8611 172220.00
7.675 8171 163420.00
7.725 7902 158040.00
7.775 7756 155120.00
7.825 7310 146200.00
7.875 7037 140740.00
7.925 7005 140100.00
7.975 6676 133520.00
8.025 6214 124280.00
8.075 6109 122180.00
8.125 5714 114280.00
8.175 5271 105420.00
8.225 4756 95120.00
8.275 4586 91720.00
8.325 4335 86700.00
8.375 3950 79000.00
8.425 3807 76140.00
8.475 3557 71140.00
8.525 3345 66900.00
8.575 3250 65000.00
8.625 3071 61420.00
8.675 2781 55620.00
8.725 2546 50920.00
8.775 2367 47340.00
8.825 2270 45400.00
8.875 1934 38680.00
8.925 1945 38900.00
8.975 1844 36880.00
9.025 1718 34360.00
9.075 1646 32920.00
9.125 1549 30980.00
9.175 1414 28280.00
9.225 1267 25340.00
9.275 1155 23100.00
9.325 1028 20560.00
9.375 989 19780.00
9.425 926 18520.00
9.475 869 17380.00
9.525 791 15820.00
9.575 768 15360.00
9.625 727 14540.00
9.675 681 13620.00
9.725 656 13120.00
9.775 574 11480.00
9.825 537 10740.00
9.875 549 10980.00
9.925 443 8860.00
9.975 478 9560.00
