# Gamma Energy Spectrum Data
# Bin Size: 0.01 MeV
# Total Events: 14257014
# Bin_Center(MeV) Count Count_Per_MeV
0.005 1294 129400.00
0.015 6626 662600.00
0.025 36148 3614800.00
0.035 68016 6801600.00
0.045 81646 8164600.00
0.055 85210 8521000.00
0.065 87155 8715500.00
0.075 87766 8776600.00
0.085 89031 8903100.00
0.095 89277 8927700.00
0.105 90544 9054400.00
0.115 91008 9100800.00
0.125 92254 9225400.00
0.135 91668 9166800.00
0.145 90569 9056900.00
0.155 87827 8782700.00
0.165 95370 9537000.00
0.175 89784 8978400.00
0.185 81461 8146100.00
0.195 82787 8278700.00
0.205 89892 8989200.00
0.215 89151 8915100.00
0.225 89148 8914800.00
0.235 89558 8955800.00
0.245 88411 8841100.00
0.255 85009 8500900.00
0.265 81804 8180400.00
0.275 79189 7918900.00
0.285 76422 7642200.00
0.295 73763 7376300.00
0.305 70918 7091800.00
0.315 69176 6917600.00
0.325 67158 6715800.00
0.335 64873 6487300.00
0.345 63728 6372800.00
0.355 62166 6216600.00
0.365 60108 6010800.00
0.375 58635 5863500.00
0.385 57288 5728800.00
0.395 56163 5616300.00
0.405 58289 5828900.00
0.415 62211 6221100.00
0.425 59870 5987000.00
0.435 56620 5662000.00
0.445 51996 5199600.00
0.455 50093 5009300.00
0.465 49813 4981300.00
0.475 51000 5100000.00
0.485 49548 4954800.00
0.495 47497 4749700.00
0.505 46427 4642700.00
0.515 126064 12606400.00
0.525 43493 4349300.00
0.535 42370 4237000.00
0.545 42021 4202100.00
0.555 41365 4136500.00
0.565 41337 4133700.00
0.575 40564 4056400.00
0.585 40313 4031300.00
0.595 40155 4015500.00
0.605 39613 3961300.00
0.615 39749 3974900.00
0.625 38791 3879100.00
0.635 38572 3857200.00
0.645 38226 3822600.00
0.655 38022 3802200.00
0.665 37231 3723100.00
0.675 36988 3698800.00
0.685 37982 3798200.00
0.695 42719 4271900.00
0.705 56091 5609100.00
0.715 69805 6980500.00
0.725 68347 6834700.00
0.735 53632 5363200.00
0.745 39909 3990900.00
0.755 35143 3514300.00
0.765 34283 3428300.00
0.775 34060 3406000.00
0.785 33626 3362600.00
0.795 33519 3351900.00
0.805 33436 3343600.00
0.815 32933 3293300.00
0.825 32451 3245100.00
0.835 32599 3259900.00
0.845 32099 3209900.00
0.855 31984 3198400.00
0.865 32066 3206600.00
0.875 32162 3216200.00
0.885 32087 3208700.00
0.895 31655 3165500.00
0.905 31679 3167900.00
0.915 31616 3161600.00
0.925 32179 3217900.00
0.935 32182 3218200.00
0.945 32357 3235700.00
0.955 32294 3229400.00
0.965 32248 3224800.00
0.975 32212 3221200.00
0.985 32733 3273300.00
0.995 33900 3390000.00
1.005 36246 3624600.00
1.015 38107 3810700.00
1.025 38237 3823700.00
1.035 36972 3697200.00
1.045 34322 3432200.00
1.055 32551 3255100.00
1.065 31175 3117500.00
1.075 30657 3065700.00
1.085 30522 3052200.00
1.095 30116 3011600.00
1.105 29771 2977100.00
1.115 29621 2962100.00
1.125 30122 3012200.00
1.135 29463 2946300.00
1.145 29004 2900400.00
1.155 28601 2860100.00
1.165 27764 2776400.00
1.175 27455 2745500.00
1.185 27338 2733800.00
1.195 27134 2713400.00
1.205 26920 2692000.00
1.215 26599 2659900.00
1.225 26758 2675800.00
1.235 26573 2657300.00
1.245 26382 2638200.00
1.255 26293 2629300.00
1.265 25761 2576100.00
1.275 26091 2609100.00
1.285 25908 2590800.00
1.295 25855 2585500.00
1.305 25666 2566600.00
1.315 25388 2538800.00
1.325 26004 2600400.00
1.335 26116 2611600.00
1.345 25649 2564900.00
1.355 25522 2552200.00
1.365 25540 2554000.00
1.375 25397 2539700.00
1.385 25342 2534200.00
1.395 25362 2536200.00
1.405 25318 2531800.00
1.415 26031 2603100.00
1.425 26136 2613600.00
1.435 26231 2623100.00
1.445 25764 2576400.00
1.455 25492 2549200.00
1.465 25405 2540500.00
1.475 24825 2482500.00
1.485 24352 2435200.00
1.495 24184 2418400.00
1.505 24199 2419900.00
1.515 23853 2385300.00
1.525 23671 2367100.00
1.535 23912 2391200.00
1.545 23742 2374200.00
1.555 23565 2356500.00
1.565 23658 2365800.00
1.575 23606 2360600.00
1.585 24015 2401500.00
1.595 25063 2506300.00
1.605 27532 2753200.00
1.615 30907 3090700.00
1.625 34685 3468500.00
1.635 36885 3688500.00
1.645 35012 3501200.00
1.655 31705 3170500.00
1.665 27539 2753900.00
1.675 24770 2477000.00
1.685 23494 2349400.00
1.695 22728 2272800.00
1.705 22148 2214800.00
1.715 22299 2229900.00
1.725 22130 2213000.00
1.735 22045 2204500.00
1.745 22160 2216000.00
1.755 22097 2209700.00
1.765 21877 2187700.00
1.775 22104 2210400.00
1.785 22126 2212600.00
1.795 22079 2207900.00
1.805 21917 2191700.00
1.815 21906 2190600.00
1.825 21793 2179300.00
1.835 21794 2179400.00
1.845 21739 2173900.00
1.855 21713 2171300.00
1.865 21989 2198900.00
1.875 21933 2193300.00
1.885 21970 2197000.00
1.895 21758 2175800.00
1.905 21616 2161600.00
1.915 21668 2166800.00
1.925 21317 2131700.00
1.935 22005 2200500.00
1.945 22987 2298700.00
1.955 23638 2363800.00
1.965 25183 2518300.00
1.975 26826 2682600.00
1.985 28108 2810800.00
1.995 28825 2882500.00
2.005 28893 2889300.00
2.015 27857 2785700.00
2.025 26769 2676900.00
2.035 25143 2514300.00
2.045 23861 2386100.00
2.055 22727 2272700.00
2.065 22356 2235600.00
2.075 22240 2224000.00
2.085 22674 2267400.00
2.095 23671 2367100.00
2.105 24089 2408900.00
2.115 24839 2483900.00
2.125 25104 2510400.00
2.135 24907 2490700.00
2.145 24324 2432400.00
2.155 23906 2390600.00
2.165 22641 2264100.00
2.175 22311 2231100.00
2.185 21578 2157800.00
2.195 21039 2103900.00
2.205 20749 2074900.00
2.215 20422 2042200.00
2.225 20966 2096600.00
2.235 20679 2067900.00
2.245 21677 2167700.00
2.255 23941 2394100.00
2.265 28451 2845100.00
2.275 34565 3456500.00
2.285 42591 4259100.00
2.295 49981 4998100.00
2.305 55885 5588500.00
2.315 58150 5815000.00
2.325 56455 5645500.00
2.335 51316 5131600.00
2.345 44263 4426300.00
2.355 37759 3775900.00
2.365 32265 3226500.00
2.375 28593 2859300.00
2.385 25934 2593400.00
2.395 24058 2405800.00
2.405 22529 2252900.00
2.415 21469 2146900.00
2.425 20365 2036500.00
2.435 20036 2003600.00
2.445 19370 1937000.00
2.455 19504 1950400.00
2.465 19066 1906600.00
2.475 19579 1957900.00
2.485 19507 1950700.00
2.495 19473 1947300.00
2.505 19283 1928300.00
2.515 19313 1931300.00
2.525 19102 1910200.00
2.535 18737 1873700.00
2.545 18413 1841300.00
2.555 18079 1807900.00
2.565 17637 1763700.00
2.575 17002 1700200.00
2.585 16565 1656500.00
2.595 15814 1581400.00
2.605 15445 1544500.00
2.615 14569 1456900.00
2.625 14211 1421100.00
2.635 13804 1380400.00
2.645 13333 1333300.00
2.655 12965 1296500.00
2.665 12865 1286500.00
2.675 12413 1241300.00
2.685 12608 1260800.00
2.695 12548 1254800.00
2.705 12639 1263900.00
2.715 12503 1250300.00
2.725 12488 1248800.00
2.735 12364 1236400.00
2.745 12607 1260700.00
2.755 13025 1302500.00
2.765 13119 1311900.00
2.775 13380 1338000.00
2.785 13544 1354400.00
2.795 13709 1370900.00
2.805 13879 1387900.00
2.815 13704 1370400.00
2.825 13618 1361800.00
2.835 13612 1361200.00
2.845 13614 1361400.00
2.855 13424 1342400.00
2.865 13385 1338500.00
2.875 13358 1335800.00
2.885 13101 1310100.00
2.895 13286 1328600.00
2.905 12872 1287200.00
2.915 13064 1306400.00
2.925 12729 1272900.00
2.935 12721 1272100.00
2.945 12431 1243100.00
2.955 12374 1237400.00
2.965 12537 1253700.00
2.975 12293 1229300.00
2.985 12621 1262100.00
2.995 12391 1239100.00
3.005 12331 1233100.00
3.015 12373 1237300.00
3.025 12523 1252300.00
3.035 12559 1255900.00
3.045 12830 1283000.00
3.055 13190 1319000.00
3.065 13438 1343800.00
3.075 13661 1366100.00
3.085 13690 1369000.00
3.095 13574 1357400.00
3.105 13326 1332600.00
3.115 13032 1303200.00
3.125 12764 1276400.00
3.135 12617 1261700.00
3.145 12411 1241100.00
3.155 12330 1233000.00
3.165 12635 1263500.00
3.175 12605 1260500.00
3.185 12653 1265300.00
3.195 13167 1316700.00
3.205 12968 1296800.00
3.215 13290 1329000.00
3.225 12950 1295000.00
3.235 12691 1269100.00
3.245 12271 1227100.00
3.255 11965 1196500.00
3.265 11366 1136600.00
3.275 11014 1101400.00
3.285 10624 1062400.00
3.295 10299 1029900.00
3.305 10179 1017900.00
3.315 10133 1013300.00
3.325 10373 1037300.00
3.335 10279 1027900.00
3.345 10280 1028000.00
3.355 10363 1036300.00
3.365 10284 1028400.00
3.375 10241 1024100.00
3.385 10237 1023700.00
3.395 10239 1023900.00
3.405 10015 1001500.00
3.415 10116 1011600.00
3.425 9727 972700.00
3.435 9465 946500.00
3.445 9260 926000.00
3.455 9175 917500.00
3.465 9097 909700.00
3.475 8819 881900.00
3.485 8700 870000.00
3.495 8804 880400.00
3.505 8831 883100.00
3.515 8904 890400.00
3.525 8708 870800.00
3.535 8848 884800.00
3.545 8656 865600.00
3.555 8714 871400.00
3.565 8807 880700.00
3.575 8975 897500.00
3.585 9160 916000.00
3.595 9395 939500.00
3.605 9875 987500.00
3.615 10175 1017500.00
3.625 10621 1062100.00
3.635 11321 1132100.00
3.645 11564 1156400.00
3.655 12219 1221900.00
3.665 12272 1227200.00
3.675 12656 1265600.00
3.685 12715 1271500.00
3.695 12427 1242700.00
3.705 12406 1240600.00
3.715 12156 1215600.00
3.725 11976 1197600.00
3.735 11516 1151600.00
3.745 11053 1105300.00
3.755 10856 1085600.00
3.765 10678 1067800.00
3.775 10632 1063200.00
3.785 10583 1058300.00
3.795 10928 1092800.00
3.805 11191 1119100.00
3.815 11561 1156100.00
3.825 11937 1193700.00
3.835 12075 1207500.00
3.845 12456 1245600.00
3.855 12676 1267600.00
3.865 12659 1265900.00
3.875 12695 1269500.00
3.885 12711 1271100.00
3.895 12428 1242800.00
3.905 12138 1213800.00
3.915 11864 1186400.00
3.925 11249 1124900.00
3.935 10659 1065900.00
3.945 10528 1052800.00
3.955 9974 997400.00
3.965 9775 977500.00
3.975 9444 944400.00
3.985 9256 925600.00
3.995 9061 906100.00
4.005 9024 902400.00
4.015 9179 917900.00
4.025 9102 910200.00
4.035 8905 890500.00
4.045 8947 894700.00
4.055 8920 892000.00
4.065 8853 885300.00
4.075 8737 873700.00
4.085 8840 884000.00
4.095 8604 860400.00
4.105 8749 874900.00
4.115 8547 854700.00
4.125 8288 828800.00
4.135 8088 808800.00
4.145 8414 841400.00
4.155 8070 807000.00
4.165 8093 809300.00
4.175 7989 798900.00
4.185 8114 811400.00
4.195 8130 813000.00
4.205 8530 853000.00
4.215 8601 860100.00
4.225 8598 859800.00
4.235 9013 901300.00
4.245 9186 918600.00
4.255 9623 962300.00
4.265 9887 988700.00
4.275 10636 1063600.00
4.285 11184 1118400.00
4.295 11903 1190300.00
4.305 13201 1320100.00
4.315 14693 1469300.00
4.325 16812 1681200.00
4.335 19796 1979600.00
4.345 22945 2294500.00
4.355 26736 2673600.00
4.365 31838 3183800.00
4.375 36521 3652100.00
4.385 41540 4154000.00
4.395 46237 4623700.00
4.405 50466 5046600.00
4.415 53877 5387700.00
4.425 55652 5565200.00
4.435 57240 5724000.00
4.445 56980 5698000.00
4.455 55460 5546000.00
4.465 52835 5283500.00
4.475 49392 4939200.00
4.485 45508 4550800.00
4.495 40320 4032000.00
4.505 35084 3508400.00
4.515 30490 3049000.00
4.525 25580 2558000.00
4.535 20893 2089300.00
4.545 17267 1726700.00
4.555 14292 1429200.00
4.565 12178 1217800.00
4.575 10313 1031300.00
4.585 9013 901300.00
4.595 8232 823200.00
4.605 7702 770200.00
4.615 7406 740600.00
4.625 7146 714600.00
4.635 7090 709000.00
4.645 6790 679000.00
4.655 6840 684000.00
4.665 6801 680100.00
4.675 6917 691700.00
4.685 6963 696300.00
4.695 7084 708400.00
4.705 6999 699900.00
4.715 7011 701100.00
4.725 7231 723100.00
4.735 7401 740100.00
4.745 7319 731900.00
4.755 7480 748000.00
4.765 7603 760300.00
4.775 7553 755300.00
4.785 7649 764900.00
4.795 7688 768800.00
4.805 7774 777400.00
4.815 7803 780300.00
4.825 7939 793900.00
4.835 8099 809900.00
4.845 8108 810800.00
4.855 8243 824300.00
4.865 8104 810400.00
4.875 8147 814700.00
4.885 7866 786600.00
4.895 8234 823400.00
4.905 8289 828900.00
4.915 8151 815100.00
4.925 8102 810200.00
4.935 7955 795500.00
4.945 7781 778100.00
4.955 7877 787700.00
4.965 7723 772300.00
4.975 7670 767000.00
4.985 7688 768800.00
4.995 7709 770900.00
5.005 7565 756500.00
5.015 7729 772900.00
5.025 7653 765300.00
5.035 7676 767600.00
5.045 7843 784300.00
5.055 7817 781700.00
5.065 7814 781400.00
5.075 8015 801500.00
5.085 7918 791800.00
5.095 8006 800600.00
5.105 8042 804200.00
5.115 8051 805100.00
5.125 7953 795300.00
5.135 7953 795300.00
5.145 7923 792300.00
5.155 7747 774700.00
5.165 7840 784000.00
5.175 7676 767600.00
5.185 7698 769800.00
5.195 7750 775000.00
5.205 7992 799200.00
5.215 8092 809200.00
5.225 8328 832800.00
5.235 8499 849900.00
5.245 8591 859100.00
5.255 8818 881800.00
5.265 8754 875400.00
5.275 8862 886200.00
5.285 8651 865100.00
5.295 8708 870800.00
5.305 8288 828800.00
5.315 8097 809700.00
5.325 7664 766400.00
5.335 7306 730600.00
5.345 7061 706100.00
5.355 6571 657100.00
5.365 6426 642600.00
5.375 6074 607400.00
5.385 5968 596800.00
5.395 5892 589200.00
5.405 5755 575500.00
5.415 5460 546000.00
5.425 5588 558800.00
5.435 5590 559000.00
5.445 5614 561400.00
5.455 5592 559200.00
5.465 5437 543700.00
5.475 5518 551800.00
5.485 5478 547800.00
5.495 5274 527400.00
5.505 5400 540000.00
5.515 5339 533900.00
5.525 5451 545100.00
5.535 5332 533200.00
5.545 5405 540500.00
5.555 5381 538100.00
5.565 5492 549200.00
5.575 5311 531100.00
5.585 5392 539200.00
5.595 5188 518800.00
5.605 5401 540100.00
5.615 5207 520700.00
5.625 5223 522300.00
5.635 5145 514500.00
5.645 5175 517500.00
5.655 5157 515700.00
5.665 5241 524100.00
5.675 5284 528400.00
5.685 5143 514300.00
5.695 5133 513300.00
5.705 5258 525800.00
5.715 5128 512800.00
5.725 5059 505900.00
5.735 5069 506900.00
5.745 5176 517600.00
