# Gamma Energy Spectrum Data
# Bin Size: 0.01 MeV
# Total Events: 14257014
# Bin_Center(MeV) Count Count_Per_MeV
5.755 5124 512400.00
5.765 5060 506000.00
5.775 4949 494900.00
5.785 5074 507400.00
5.795 5008 500800.00
5.805 5134 513400.00
5.815 4999 499900.00
5.825 5046 504600.00
5.835 4963 496300.00
5.845 4850 485000.00
5.855 5039 503900.00
5.865 4811 481100.00
5.875 4741 474100.00
5.885 4870 487000.00
5.895 4818 481800.00
5.905 4780 478000.00
5.915 4671 467100.00
5.925 4737 473700.00
5.935 4818 481800.00
5.945 4679 467900.00
5.955 4810 481000.00
5.965 4688 468800.00
5.975 4712 471200.00
5.985 4607 460700.00
5.995 4658 465800.00
6.005 4702 470200.00
6.015 4554 455400.00
6.025 4657 465700.00
6.035 4705 470500.00
6.045 4643 464300.00
6.055 4751 475100.00
6.065 4853 485300.00
6.075 4813 481300.00
6.085 4696 469600.00
6.095 4659 465900.00
6.105 4819 481900.00
6.115 4814 481400.00
6.125 4759 475900.00
6.135 4826 482600.00
6.145 4820 482000.00
6.155 4809 480900.00
6.165 4704 470400.00
6.175 4768 476800.00
6.185 4694 469400.00
6.195 4605 460500.00
6.205 4860 486000.00
6.215 4800 480000.00
6.225 4832 483200.00
6.235 4598 459800.00
6.245 4655 465500.00
6.255 4820 482000.00
6.265 4742 474200.00
6.275 4651 465100.00
6.285 4680 468000.00
6.295 4786 478600.00
6.305 4951 495100.00
6.315 4841 484100.00
6.325 5021 502100.00
6.335 5120 512000.00
6.345 5043 504300.00
6.355 5158 515800.00
6.365 5269 526900.00
6.375 5327 532700.00
6.385 5568 556800.00
6.395 5618 561800.00
6.405 5667 566700.00
6.415 5608 560800.00
6.425 5656 565600.00
6.435 5735 573500.00
6.445 5610 561000.00
6.455 5671 567100.00
6.465 5604 560400.00
6.475 5789 578900.00
6.485 5441 544100.00
6.495 5509 550900.00
6.505 5117 511700.00
6.515 5009 500900.00
6.525 4979 497900.00
6.535 4872 487200.00
6.545 4661 466100.00
6.555 4500 450000.00
6.565 4362 436200.00
6.575 4208 420800.00
6.585 4092 409200.00
6.595 3878 387800.00
6.605 3827 382700.00
6.615 3734 373400.00
6.625 3880 388000.00
6.635 3692 369200.00
6.645 3614 361400.00
6.655 3572 357200.00
6.665 3504 350400.00
6.675 3462 346200.00
6.685 3512 351200.00
6.695 3408 340800.00
6.705 3412 341200.00
6.715 3361 336100.00
6.725 3359 335900.00
6.735 3416 341600.00
6.745 3265 326500.00
6.755 3319 331900.00
6.765 3206 320600.00
6.775 3289 328900.00
6.785 3263 326300.00
6.795 3270 327000.00
6.805 3274 327400.00
6.815 3313 331300.00
6.825 3178 317800.00
6.835 3378 337800.00
6.845 3345 334500.00
6.855 3299 329900.00
6.865 3340 334000.00
6.875 3318 331800.00
6.885 3385 338500.00
6.895 3371 337100.00
6.905 3474 347400.00
6.915 3476 347600.00
6.925 3490 349000.00
6.935 3737 373700.00
6.945 3645 364500.00
6.955 3828 382800.00
6.965 3755 375500.00
6.975 3808 380800.00
6.985 3912 391200.00
6.995 3885 388500.00
7.005 3951 395100.00
7.015 3996 399600.00
7.025 3919 391900.00
7.035 3793 379300.00
7.045 3792 379200.00
7.055 3763 376300.00
7.065 3711 371100.00
7.075 3682 368200.00
7.085 3648 364800.00
7.095 3580 358000.00
7.105 3353 335300.00
7.115 3290 329000.00
7.125 3241 324100.00
7.135 3107 310700.00
7.145 2929 292900.00
7.155 2964 296400.00
7.165 2871 287100.00
7.175 2835 283500.00
7.185 2768 276800.00
7.195 2680 268000.00
7.205 2731 273100.00
7.215 2614 261400.00
7.225 2486 248600.00
7.235 2501 250100.00
7.245 2563 256300.00
7.255 2562 256200.00
7.265 2532 253200.00
7.275 2473 247300.00
7.285 2394 239400.00
7.295 2478 247800.00
7.305 2418 241800.00
7.315 2421 242100.00
7.325 2424 242400.00
7.335 2438 243800.00
7.345 2275 227500.00
7.355 2290 229000.00
7.365 2283 228300.00
7.375 2247 224700.00
7.385 2163 216300.00
7.395 2234 223400.00
7.405 2069 206900.00
7.415 2192 219200.00
7.425 2179 217900.00
7.435 2069 206900.00
7.445 2059 205900.00
7.455 1968 196800.00
7.465 2006 200600.00
7.475 2036 203600.00
7.485 1940 194000.00
7.495 1999 199900.00
7.505 1927 192700.00
7.515 2034 203400.00
7.525 1946 194600.00
7.535 1898 189800.00
7.545 1883 188300.00
7.555 1867 186700.00
7.565 1873 187300.00
7.575 1780 178000.00
7.585 1767 176700.00
7.595 1787 178700.00
7.605 1668 166800.00
7.615 1773 177300.00
7.625 1730 173000.00
7.635 1725 172500.00
7.645 1715 171500.00
7.655 1690 169000.00
7.665 1638 163800.00
7.675 1620 162000.00
7.685 1657 165700.00
7.695 1566 156600.00
7.705 1562 156200.00
7.715 1570 157000.00
7.725 1652 165200.00
7.735 1542 154200.00
7.745 1576 157600.00
7.755 1556 155600.00
7.765 1552 155200.00
7.775 1570 157000.00
7.785 1533 153300.00
7.795 1545 154500.00
7.805 1460 146000.00
7.815 1445 144500.00
7.825 1527 152700.00
7.835 1387 138700.00
7.845 1491 149100.00
7.855 1403 140300.00
7.865 1354 135400.00
7.875 1431 143100.00
7.885 1386 138600.00
7.895 1463 146300.00
7.905 1370 137000.00
7.915 1380 138000.00
7.925 1486 148600.00
7.935 1382 138200.00
7.945 1387 138700.00
7.955 1377 137700.00
7.965 1357 135700.00
7.975 1320 132000.00
7.985 1322 132200.00
7.995 1300 130000.00
8.005 1229 122900.00
8.015 1304 130400.00
8.025 1201 120100.00
8.035 1213 121300.00
8.045 1267 126700.00
8.055 1331 133100.00
8.065 1175 117500.00
8.075 1151 115100.00
8.085 1235 123500.00
8.095 1217 121700.00
8.105 1163 116300.00
8.115 1181 118100.00
8.125 1136 113600.00
8.135 1114 111400.00
8.145 1120 112000.00
8.155 1059 105900.00
8.165 1104 110400.00
8.175 1070 107000.00
8.185 1009 100900.00
8.195 1029 102900.00
8.205 959 95900.00
8.215 979 97900.00
8.225 967 96700.00
8.235 944 94400.00
8.245 907 90700.00
8.255 937 93700.00
8.265 933 93300.00
8.275 935 93500.00
8.285 887 88700.00
8.295 894 89400.00
8.305 880 88000.00
8.315 901 90100.00
8.325 875 87500.00
8.335 882 88200.00
8.345 797 79700.00
8.355 786 78600.00
8.365 794 79400.00
8.375 790 79000.00
8.385 789 78900.00
8.395 791 79100.00
8.405 819 81900.00
8.415 719 71900.00
8.425 776 77600.00
8.435 761 76100.00
8.445 732 73200.00
8.455 710 71000.00
8.465 775 77500.00
8.475 701 70100.00
8.485 715 71500.00
8.495 656 65600.00
8.505 683 68300.00
8.515 678 67800.00
8.525 663 66300.00
8.535 668 66800.00
8.545 653 65300.00
8.555 726 72600.00
8.565 615 61500.00
8.575 671 67100.00
8.585 616 61600.00
8.595 622 62200.00
8.605 615 61500.00
8.615 617 61700.00
8.625 594 59400.00
8.635 631 63100.00
8.645 614 61400.00
8.655 544 54400.00
8.665 564 56400.00
8.675 573 57300.00
8.685 565 56500.00
8.695 535 53500.00
8.705 534 53400.00
8.715 464 46400.00
8.725 526 52600.00
8.735 513 51300.00
8.745 509 50900.00
8.755 491 49100.00
8.765 515 51500.00
8.775 466 46600.00
8.785 460 46000.00
8.795 435 43500.00
8.805 477 47700.00
8.815 444 44400.00
8.825 480 48000.00
8.835 450 45000.00
8.845 419 41900.00
8.855 407 40700.00
8.865 373 37300.00
8.875 351 35100.00
8.885 421 42100.00
8.895 382 38200.00
8.905 423 42300.00
8.915 378 37800.00
8.925 398 39800.00
8.935 376 37600.00
8.945 370 37000.00
8.955 366 36600.00
8.965 373 37300.00
8.975 367 36700.00
8.985 363 36300.00
8.995 375 37500.00
9.005 365 36500.00
9.015 334 33400.00
9.025 311 31100.00
9.035 362 36200.00
9.045 346 34600.00
9.055 348 34800.00
9.065 297 29700.00
9.075 358 35800.00
9.085 320 32000.00
9.095 323 32300.00
9.105 302 30200.00
9.115 341 34100.00
9.125 308 30800.00
9.135 288 28800.00
9.145 310 31000.00
9.155 291 29100.00
9.165 289 28900.00
9.175 273 27300.00
9.185 292 29200.00
9.195 269 26900.00
9.205 261 26100.00
9.215 255 25500.00
9.225 275 27500.00
9.235 245 24500.00
9.245 231 23100.00
9.255 231 23100.00
9.265 242 24200.00
9.275 255 25500.00
9.285 193 19300.00
9.295 234 23400.00
9.305 212 21200.00
9.315 219 21900.00
9.325 203 20300.00
9.335 203 20300.00
9.345 191 19100.00
9.355 196 19600.00
9.365 211 21100.00
9.375 185 18500.00
9.385 192 19200.00
9.395 205 20500.00
9.405 191 19100.00
9.415 183 18300.00
9.425 202 20200.00
9.435 176 17600.00
9.445 174 17400.00
9.455 172 17200.00
9.465 184 18400.00
9.475 173 17300.00
9.485 162 16200.00
9.495 178 17800.00
9.505 165 16500.00
9.515 162 16200.00
9.525 154 15400.00
9.535 158 15800.00
9.545 152 15200.00
9.555 146 14600.00
9.565 151 15100.00
9.575 142 14200.00
9.585 163 16300.00
9.595 166 16600.00
9.605 138 13800.00
9.615 168 16800.00
9.625 137 13700.00
9.635 123 12300.00
9.645 161 16100.00
9.655 128 12800.00
9.665 134 13400.00
9.675 155 15500.00
9.685 119 11900.00
9.695 145 14500.00
9.705 115 11500.00
9.715 143 14300.00
9.725 149 14900.00
9.735 121 12100.00
9.745 128 12800.00
9.755 120 12000.00
9.765 112 11200.00
9.775 114 11400.00
9.785 119 11900.00
9.795 109 10900.00
9.805 123 12300.00
9.815 110 11000.00
9.825 104 10400.00
9.835 105 10500.00
9.845 95 9500.00
9.855 119 11900.00
9.865 104 10400.00
9.875 127 12700.00
9.885 99 9900.00
9.895 100 10000.00
9.905 91 9100.00
9.915 103 10300.00
9.925 83 8300.00
9.935 80 8000.00
9.945 86 8600.00
9.955 107 10700.00
9.965 107 10700.00
9.975 91 9100.00
9.985 83 8300.00
9.995 90 9000.00
