Peak_Number,Energy_MeV,Counts,FWHM_MeV,Area,Left_Edge_MeV,Right_Edge_MeV
1,0.125,456043,0.2864164169544319,2612364.0407429994,0.1,0.15000000000000002
2,2.825,68427,0.13412103034617148,183549.9948699495,2.8000000000000003,2.85
3,3.875,63169,0.31611758143933105,399376.630038822,3.85,3.9000000000000004
4,4.425000000000001,274215,0.15114075706967256,828901.2539972052,4.4,4.45
5,5.275,43793,0.13397660204193898,117344.74666445266,5.25,5.300000000000001
6,6.425000000000001,28276,0.16308115088174874,92225.65244664653,6.4,6.45
7,7.025,19451,0.15702327275579508,61085.1935674594,7.0,7.050000000000001
